,Point ID,,X,Y,Z
GRID,100198,,4.61734E-01,-2.99853E-01,4.51986E-01
GRID,100199,,4.45408E-01,-3.23608E-01,4.51986E-01
GRID,100200,,4.27861E-01,-3.46475E-01,4.51986E-01
GRID,100201,,4.09142E-01,-3.68393E-01,4.51986E-01
GRID,100202,,3.89301E-01,-3.89301E-01,4.51986E-01
GRID,100203,,3.68393E-01,-4.09142E-01,4.51986E-01
GRID,100204,,3.46475E-01,-4.27861E-01,4.51986E-01
GRID,100205,,4.45408E-01,3.23608E-01,4.51986E-01
GRID,100206,,4.27861E-01,3.46475E-01,4.51986E-01
GRID,100207,,4.09142E-01,3.68393E-01,4.51986E-01
GRID,100208,,3.89301E-01,3.89301E-01,4.51986E-01
GRID,100209,,3.68393E-01,4.09142E-01,4.51986E-01
GRID,100210,,3.46475E-01,4.27861E-01,4.51986E-01
GRID,100211,,3.23608E-01,-4.45408E-01,4.51986E-01
GRID,100212,,3.27363E-01,-4.50576E-01,4.51986E-01
GRID,100213,,3.31119E-01,-4.55746E-01,4.51986E-01
GRID,100214,,3.33862E-01,-4.59521E-01,4.51986E-01
GRID,100215,,3.38629E-01,-4.66083E-01,4.51986E-01
GRID,100216,,3.42384E-01,-4.71251E-01,4.51986E-01
GRID,100217,,3.23608E-01,4.45408E-01,4.51986E-01
GRID,100218,,3.27363E-01,4.50576E-01,4.51986E-01
GRID,100219,,3.31118E-01,4.55745E-01,4.51986E-01
GRID,100220,,3.33861E-01,4.59521E-01,4.51986E-01
GRID,100221,,3.38629E-01,4.66083E-01,4.51986E-01
GRID,100222,,3.42384E-01,4.71252E-01,4.51986E-01
GRID,100223,,4.40239E-01,3.19853E-01,4.51986E-01
GRID,100224,,4.56376E-01,2.96374E-01,4.51986E-01
GRID,100225,,4.71261E-01,2.72083E-01,4.51986E-01
GRID,100226,,4.84855E-01,2.47046E-01,4.51986E-01
GRID,100227,,4.97120E-01,2.21332E-01,4.51986E-01
GRID,100228,,5.08022E-01,1.95012E-01,4.51986E-01
GRID,100229,,5.17532E-01,1.68156E-01,4.51986E-01
GRID,100230,,5.25624E-01,1.40841E-01,4.51986E-01
GRID,100231,,5.32274E-01,1.13139E-01,4.51986E-01
GRID,100232,,5.37466E-01,8.51262E-02,4.51986E-01
GRID,100233,,5.41185E-01,5.68808E-02,4.51986E-01
GRID,100234,,5.43420E-01,2.84794E-02,4.51986E-01
GRID,100235,,5.44166E-01,2.3786-8,4.51986E-01
GRID,100236,,5.43420E-01,-2.84790E-02,4.51986E-01
GRID,100237,,5.41185E-01,-5.68800E-02,4.51986E-01
GRID,100238,,5.37466E-01,-8.51260E-02,4.51986E-01
GRID,100239,,5.32274E-01,-1.13138E-01,4.51986E-01
GRID,100240,,5.25624E-01,-1.40840E-01,4.51986E-01
GRID,100241,,5.17532E-01,-1.68156E-01,4.51986E-01
GRID,100242,,5.08022E-01,-1.95012E-01,4.51986E-01
GRID,100243,,4.97120E-01,-2.21332E-01,4.51986E-01
GRID,100244,,4.84855E-01,-2.47046E-01,4.51986E-01
GRID,100245,,4.71261E-01,-2.72083E-01,4.51986E-01
GRID,100246,,4.56376E-01,-2.96374E-01,4.51986E-01
GRID,100247,,4.40239E-01,-3.19853E-01,4.51986E-01
GRID,100248,,4.22896E-01,-3.42455E-01,4.51986E-01
GRID,100249,,4.04394E-01,-3.64118E-01,4.51986E-01
GRID,100250,,3.84783E-01,-3.84783E-01,4.51986E-01
GRID,100251,,3.64118E-01,-4.04394E-01,4.51986E-01
GRID,100252,,3.42455E-01,-4.22896E-01,4.51986E-01
GRID,100253,,3.19853E-01,-4.40239E-01,4.51986E-01
GRID,100254,,4.22896E-01,3.42455E-01,4.51986E-01
GRID,100255,,4.04394E-01,3.64118E-01,4.51986E-01
GRID,100256,,3.84783E-01,3.84783E-01,4.51986E-01
GRID,100257,,3.64118E-01,4.04394E-01,4.51986E-01
GRID,100258,,3.42455E-01,4.22896E-01,4.51986E-01
GRID,100259,,3.19853E-01,4.40239E-01,4.51986E-01
GRID,100260,,2.96374E-01,-4.56376E-01,4.51986E-01
GRID,100261,,2.99853E-01,-4.61734E-01,4.51986E-01
GRID,100262,,3.03333E-01,-4.67092E-01,4.51986E-01
GRID,100263,,3.06813E-01,-4.72450E-01,4.51986E-01
GRID,100264,,3.09354E-01,-4.76364E-01,4.51986E-01
GRID,100265,,3.13772E-01,-4.83167E-01,4.51986E-01
GRID,100266,,3.17252E-01,-4.88525E-01,4.51986E-01
GRID,100267,,2.96374E-01,4.56376E-01,4.51986E-01
GRID,100268,,2.99853E-01,4.61734E-01,4.51986E-01
GRID,100269,,3.03333E-01,4.67092E-01,4.51986E-01
GRID,100270,,3.06813E-01,4.72450E-01,4.51986E-01
GRID,100271,,3.09354E-01,4.76364E-01,4.51986E-01
GRID,100272,,3.13772E-01,4.83167E-01,4.51986E-01
GRID,100273,,3.17252E-01,4.88525E-01,4.51986E-01
GRID,100274,,4.17931E-01,3.38434E-01,4.51986E-01
GRID,100275,,4.35070E-01,3.16097E-01,4.51986E-01
GRID,100276,,4.51018E-01,2.92894E-01,4.51986E-01
GRID,100277,,4.65728E-01,2.68888E-01,4.51986E-01
GRID,100278,,4.79163E-01,2.44146E-01,4.51986E-01
GRID,100279,,4.91283E-01,2.18734E-01,4.51986E-01
GRID,100280,,5.02058E-01,1.92722E-01,4.51986E-01
GRID,100281,,5.11456E-01,1.66182E-01,4.51986E-01
GRID,100282,,5.19452E-01,1.39187E-01,4.51986E-01
GRID,100283,,5.26025E-01,1.11810E-01,4.51986E-01
GRID,100284,,5.31156E-01,8.41268E-02,4.51986E-01
GRID,100285,,5.34831E-01,5.62129E-02,4.51986E-01
GRID,100286,,5.37040E-01,2.81451E-02,4.51986E-01
GRID,100287,,5.37777E-01,2.3507-8,4.51986E-01
GRID,100288,,5.37040E-01,-2.81450E-02,4.51986E-01
GRID,100289,,5.34831E-01,-5.62120E-02,4.51986E-01
GRID,100290,,5.31156E-01,-8.41260E-02,4.51986E-01
GRID,100291,,5.26025E-01,-1.11810E-01,4.51986E-01
GRID,100292,,5.19452E-01,-1.39187E-01,4.51986E-01
GRID,100293,,5.11456E-01,-1.66182E-01,4.51986E-01
GRID,100294,,5.02058E-01,-1.92722E-01,4.51986E-01
GRID,100295,,4.91283E-01,-2.18733E-01,4.51986E-01
GRID,100296,,4.79163E-01,-2.44145E-01,4.51986E-01
GRID,100297,,4.65728E-01,-2.68888E-01,4.51986E-01
GRID,100298,,4.51018E-01,-2.92894E-01,4.51986E-01
GRID,100299,,4.35070E-01,-3.16097E-01,4.51986E-01
GRID,100300,,4.17931E-01,-3.38434E-01,4.51986E-01
GRID,100301,,3.99646E-01,-3.59843E-01,4.51986E-01
GRID,100302,,3.80266E-01,-3.80266E-01,4.51986E-01
GRID,100303,,3.59843E-01,-3.99646E-01,4.51986E-01
GRID,100304,,3.38434E-01,-4.17931E-01,4.51986E-01
GRID,100305,,3.16097E-01,-4.35070E-01,4.51986E-01
GRID,100306,,2.92894E-01,-4.51018E-01,4.51986E-01
GRID,100307,,3.99646E-01,3.59843E-01,4.51986E-01
GRID,100308,,3.80266E-01,3.80266E-01,4.51986E-01
GRID,100309,,3.59843E-01,3.99646E-01,4.51986E-01
GRID,100310,,3.38434E-01,4.17931E-01,4.51986E-01
GRID,100311,,3.16097E-01,4.35070E-01,4.51986E-01
GRID,100312,,2.92894E-01,4.51018E-01,4.51986E-01
GRID,100313,,2.68888E-01,-4.65728E-01,4.51986E-01
GRID,100314,,2.72083E-01,-4.71261E-01,4.51986E-01
GRID,100315,,2.75277E-01,-4.76794E-01,4.51986E-01
GRID,100316,,2.78472E-01,-4.82327E-01,4.51986E-01
GRID,100317,,2.81666E-01,-4.87860E-01,4.51986E-01
GRID,100318,,2.83999E-01,-4.91902E-01,4.51986E-01
GRID,100319,,2.88055E-01,-4.98926E-01,4.51986E-01
GRID,100320,,2.91249E-01,-5.04459E-01,4.51986E-01
GRID,100321,,2.68888E-01,4.65728E-01,4.51986E-01
GRID,100322,,2.72083E-01,4.71261E-01,4.51986E-01
